payment_id,subscriber_id,payment_date,amount_usd,failure_reason,gateway_response_code,attempt_number,previous_failures,days_since_last_payment,historical_success_rate,payment_method,customer_tenure_months,monthly_charge_usd,support_ticket_count,customer_lifetime_value_usd,customer_opted_out,recovery_probability,root_cause,root_cause_confidence,revenue_at_risk,expected_recovery,recommended_action
PAY-0000001,CUST-003292,2025-08-20,19.64,NETWORK_TIMEOUT,TIMEOUT_408,1,0,27,0.587,upi,30,19.42,2,561.36,False,0.789,TRANSIENT_FAILURE,0.898,20.78,16.4,RETRY
PAY-0000002,CUST-001011,2026-06-24,8.7,BANK_UNAVAILABLE,91,1,0,29,0.618,card,35,10.04,2,401.58,False,0.91,TRANSIENT_FAILURE,0.856,8.65,7.87,RETRY
PAY-0000003,CUST-008332,2025-07-18,30.74,NETWORK_TIMEOUT,91,3,3,38,0.42,upi,25,27.15,1,647.43,False,0.128,PAYMENT_INSTRUMENT,0.635,31.93,4.09,STOP
PAY-0000004,CUST-005177,2025-07-02,18.61,INSUFFICIENT_FUNDS,51,4,3,32,0.657,card,15,19.1,0,268.39,False,0.344,CUSTOMER_ACTION_REQUIRED,0.897,19.09,6.57,HUMAN_REVIEW
PAY-0000005,CUST-002896,2025-03-13,79.71,GATEWAY_ERROR,GW_500,1,1,20,0.467,card,14,66.84,1,1149.72,False,0.583,GATEWAY_ERROR,0.798,80.89,47.16,RETRY
PAY-0000006,CUST-002443,2026-08-20,54.9,AUTHENTICATION_FAILED,05,1,0,24,0.445,upi,19,50.12,1,980.44,False,0.605,GATEWAY_ERROR,0.55,53.35,32.28,RETRY
PAY-0000007,CUST-005082,2025-05-04,36.94,GATEWAY_ERROR,96,1,0,36,0.471,card,4,37.21,1,148.51,False,0.656,GATEWAY_ERROR,0.74,39.41,25.85,RETRY
PAY-0000008,CUST-008713,2025-09-19,31.59,GATEWAY_ERROR,GW_ERR_96,1,0,24,0.73,card,27,30.61,1,1015.87,False,0.707,GATEWAY_ERROR,0.876,33.29,23.54,RETRY
PAY-0000009,CUST-004159,2026-06-02,7.96,DUPLICATE_TRANSACTION,DUP_94,1,0,29,0.508,card,14,14.34,0,180.2,False,0.689,GATEWAY_ERROR,0.721,7.8,5.37,RETRY
PAY-0000010,CUST-008814,2025-11-29,14.2,LIMIT_EXCEEDED,LIMIT_61,2,1,21,0.549,upi,17,10.17,3,186.79,False,0.408,CUSTOMER_ACTION_REQUIRED,0.798,14.53,5.93,CUSTOMER_NUDGE
PAY-0000011,CUST-006666,2026-03-20,36.26,NETWORK_TIMEOUT,GW_503,1,1,35,0.519,card,9,29.55,1,272.18,False,0.626,TRANSIENT_FAILURE,0.927,37.18,23.27,RETRY
PAY-0000012,CUST-006323,2025-08-08,13.46,BANK_UNAVAILABLE,91,1,1,37,0.621,upi,24,9.06,1,244.01,False,0.705,TRANSIENT_FAILURE,0.97,13.11,9.24,RETRY
PAY-0000013,CUST-001384,2026-03-19,6.38,INSUFFICIENT_FUNDS,51,3,2,27,0.555,netbanking,17,14.81,1,233.6,False,0.344,CUSTOMER_ACTION_REQUIRED,0.925,6.5,2.24,CUSTOMER_NUDGE
PAY-0000014,CUST-001738,2025-12-17,18.27,BANK_UNAVAILABLE,91,1,0,35,0.553,upi,15,13.34,2,206.02,False,0.752,TRANSIENT_FAILURE,0.83,19.48,14.65,RETRY
PAY-0000015,CUST-006641,2025-07-05,18.41,BANK_UNAVAILABLE,GW_503,2,1,24,0.191,card,14,23.57,2,323.48,False,0.602,TRANSIENT_FAILURE,0.89,17.89,10.77,RETRY
PAY-0000016,CUST-001490,2025-10-31,72.09,FRAUD_SUSPECTED,RISK_BLOCK_63,1,0,27,0.585,upi,4,66.7,0,285.54,False,0.544,CUSTOMER_ACTION_REQUIRED,0.565,74.29,40.41,CUSTOMER_NUDGE
PAY-0000017,CUST-004938,2026-08-12,35.85,NETWORK_TIMEOUT,TIMEOUT_408,1,0,35,0.484,card,33,28.26,6,835.33,False,0.799,TRANSIENT_FAILURE,0.971,35.09,28.04,RETRY
PAY-0000018,CUST-004626,2025-06-29,8.26,BANK_UNAVAILABLE,BANK_DOWN_502,1,1,24,0.214,upi,4,11.6,1,53.1,False,0.621,TRANSIENT_FAILURE,0.827,8.09,5.02,RETRY
PAY-0000019,CUST-006504,2025-12-25,36.37,INSUFFICIENT_FUNDS,NSF_51,2,1,29,0.471,upi,17,34.54,0,660.63,False,0.427,CUSTOMER_ACTION_REQUIRED,0.934,37.06,15.82,CUSTOMER_NUDGE
PAY-0000020,CUST-004939,2025-11-12,11.05,FRAUD_SUSPECTED,RISK_BLOCK_63,1,0,20,0.385,upi,14,9.55,0,129.49,False,0.177,RISK_RELATED,0.861,11.49,2.03,HUMAN_REVIEW
PAY-0000021,CUST-001955,2026-05-11,23.57,NETWORK_TIMEOUT,TIMEOUT_408,5,5,38,0.496,card,47,18.82,2,787.58,False,0.541,TRANSIENT_FAILURE,0.964,25.04,13.55,HUMAN_REVIEW
PAY-0000022,CUST-007027,2026-03-06,20.89,BANK_UNAVAILABLE,GW_503,3,4,36,0.577,upi,42,19.67,2,847.63,False,0.595,TRANSIENT_FAILURE,0.734,21.42,12.74,HUMAN_REVIEW
PAY-0000023,CUST-007065,2026-03-06,18.3,DUPLICATE_TRANSACTION,94,2,1,33,0.652,card,19,21.0,0,467.14,False,0.567,GATEWAY_ERROR,0.746,18.55,10.52,RETRY
PAY-0000024,CUST-000360,2025-11-04,8.92,BANK_UNAVAILABLE,91,2,1,34,0.528,card,18,9.91,1,195.16,False,0.747,TRANSIENT_FAILURE,0.941,9.0,6.72,RETRY
PAY-0000025,CUST-004869,2025-10-12,31.55,GATEWAY_ERROR,GW_500,1,0,25,0.483,card,20,34.26,0,616.86,False,0.715,GATEWAY_ERROR,0.727,33.36,23.85,RETRY
PAY-0000026,CUST-000729,2026-05-20,16.96,GATEWAY_ERROR,96,2,4,38,0.405,upi,23,20.75,1,411.74,False,0.322,GATEWAY_ERROR,0.939,17.11,5.51,HUMAN_REVIEW
PAY-0000027,CUST-001045,2025-07-19,21.79,GATEWAY_ERROR,GW_ERR_96,1,0,20,0.662,card,45,15.2,1,588.17,False,0.705,GATEWAY_ERROR,0.816,22.84,16.1,RETRY
PAY-0000028,CUST-000518,2026-06-17,24.93,BANK_UNAVAILABLE,BANK_DOWN_502,2,1,32,0.722,card,12,22.95,1,283.91,False,0.768,TRANSIENT_FAILURE,0.813,26.16,20.09,RETRY
PAY-0000029,CUST-006841,2025-05-25,16.99,NETWORK_TIMEOUT,91,1,0,38,0.584,card,37,22.18,2,782.4,False,0.365,PAYMENT_INSTRUMENT,0.366,17.27,6.3,CUSTOMER_NUDGE
PAY-0000030,CUST-005089,2025-09-08,9.8,DUPLICATE_TRANSACTION,DUP_94,1,1,31,0.517,upi,25,14.36,1,361.94,False,0.633,GATEWAY_ERROR,0.922,9.55,6.05,RETRY
PAY-0000031,CUST-004561,2025-02-12,14.16,BANK_UNAVAILABLE,BANK_DOWN_502,4,3,38,0.629,netbanking,52,12.98,0,754.03,False,0.691,TRANSIENT_FAILURE,0.855,15.16,10.48,HUMAN_REVIEW
PAY-0000032,CUST-001897,2026-04-04,43.8,NETWORK_TIMEOUT,TIMEOUT_408,1,1,31,0.791,upi,49,43.29,1,1908.47,False,0.83,TRANSIENT_FAILURE,0.945,42.83,35.55,RETRY
PAY-0000033,CUST-000208,2026-03-09,27.58,NETWORK_TIMEOUT,TIMEOUT_408,2,2,32,0.703,netbanking,30,32.66,2,1162.22,False,0.723,TRANSIENT_FAILURE,0.841,29.39,21.25,HUMAN_REVIEW
PAY-0000034,CUST-002000,2026-07-10,6.72,DUPLICATE_TRANSACTION,94,3,2,33,0.612,card,16,8.6,1,159.91,False,0.6,GATEWAY_ERROR,0.748,6.84,4.1,RETRY
PAY-0000035,CUST-002842,2025-04-21,30.35,AUTHENTICATION_FAILED,05,5,4,42,0.505,card,22,27.77,1,593.65,True,0.132,TRANSIENT_FAILURE,0.506,30.85,4.07,STOP
PAY-0000036,CUST-007782,2026-04-05,12.51,NETWORK_TIMEOUT,91,1,1,31,0.456,card,10,10.9,1,94.32,False,0.671,TRANSIENT_FAILURE,0.932,12.68,8.51,RETRY
PAY-0000037,CUST-001334,2025-08-26,11.48,DUPLICATE_TRANSACTION,DUP_94,3,2,41,0.367,card,7,10.28,1,70.85,False,0.448,GATEWAY_ERROR,0.857,11.89,5.33,HUMAN_REVIEW
PAY-0000038,CUST-001866,2025-10-13,53.01,BANK_UNAVAILABLE,GW_503,1,0,33,0.456,card,12,48.27,1,528.61,False,0.678,TRANSIENT_FAILURE,0.765,52.16,35.36,RETRY
PAY-0000039,CUST-001253,2025-07-30,6.72,CARD_EXPIRED,EXP_CARD_54,4,4,43,0.469,card,39,8.11,0,364.76,False,0.156,PAYMENT_INSTRUMENT,0.729,6.56,1.02,HUMAN_REVIEW
PAY-0000040,CUST-007046,2026-03-04,44.91,GATEWAY_ERROR,GW_500,3,2,26,0.628,card,18,39.09,2,626.53,False,0.457,GATEWAY_ERROR,0.947,44.93,20.53,HUMAN_REVIEW
PAY-0000041,CUST-001309,2025-12-28,7.51,CARD_EXPIRED,54,2,1,30,0.584,card,17,9.79,0,148.21,False,0.327,PAYMENT_INSTRUMENT,0.887,7.85,2.57,CUSTOMER_NUDGE
PAY-0000042,CUST-000896,2025-09-11,8.47,CARD_EXPIRED,EXP_CARD_54,2,2,29,0.525,upi,16,8.5,2,145.22,False,0.179,PAYMENT_INSTRUMENT,0.894,9.05,1.62,CUSTOMER_NUDGE
PAY-0000043,CUST-004598,2025-10-18,9.56,AUTHENTICATION_FAILED,3DS_FAIL_05,5,4,32,0.486,card,18,15.12,1,282.54,False,0.176,CUSTOMER_ACTION_REQUIRED,0.834,9.67,1.7,STOP
PAY-0000044,CUST-004561,2025-07-16,17.78,CARD_EXPIRED,EXP_CARD_54,1,1,30,0.696,card,52,12.98,0,754.03,False,0.421,CUSTOMER_ACTION_REQUIRED,0.689,19.05,8.02,CUSTOMER_NUDGE
PAY-0000045,CUST-003991,2026-05-10,14.96,BANK_UNAVAILABLE,GW_503,1,1,35,0.669,card,39,11.43,1,469.29,False,0.743,TRANSIENT_FAILURE,0.865,14.78,10.98,RETRY
PAY-0000046,CUST-007700,2026-01-15,11.12,AUTHENTICATION_FAILED,3DS_FAIL_05,2,2,30,0.54,card,6,13.38,1,73.92,False,0.42,CUSTOMER_ACTION_REQUIRED,0.96,11.45,4.81,CUSTOMER_NUDGE
